"date","federal_state","company","arrivals","nights"
"1974-03","W96-4",1,9763,36202
"1974-03","W96-4",2,13368,39032
"1974-03","W96-4",3,17838,103879
"1974-03","W96-4",70,14,17
"1974-03","W96-4",81,2191,8661
"1974-03","W96-4",73,1190,10323
"1974-03","W96-4",71,2038,47250
"1974-03","W96-4",83,756,2386
"1974-03","W96-4",84,1455,6664
"1974-03","W96-4",60,3322,28367
"1974-03","W96-4",75,50,5117
"1974-03","W96-4",72,456,11165
"1974-03","W96-4",74,938,11122
"1974-03","W96-4",998,90,306
"1974-03","W96-4",999,667,4946
"1974-03","W96-5",1,21624,129144
"1974-03","W96-5",2,57468,396564
"1974-03","W96-5",3,50368,329800
"1974-03","W96-5",70,183,1062
"1974-03","W96-5",81,5687,30657
"1974-03","W96-5",73,18651,130578
"1974-03","W96-5",71,1447,24678
"1974-03","W96-5",83,798,2398
"1974-03","W96-5",84,3241,30983
"1974-03","W96-5",60,21941,183685
"1974-03","W96-5",72,298,4030
"1974-03","W96-5",74,379,4391
"1974-03","W96-5",998,8832,62905
"1974-03","W96-5",999,6859,44200
"1974-03","W96-6",1,12724,34467
"1974-03","W96-6",2,15391,75879
"1974-03","W96-6",3,38521,214068
"1974-03","W96-6",70,213,431
"1974-03","W96-6",81,2914,14942
"1974-03","W96-6",73,1105,11803
"1974-03","W96-6",71,565,13541
"1974-03","W96-6",83,1272,4946
"1974-03","W96-6",84,2998,23363
"1974-03","W96-6",60,13447,115067
"1974-03","W96-6",75,271,7317
"1974-03","W96-6",72,47,760
"1974-03","W96-6",74,509,5443
"1974-03","W96-6",998,143,942
"1974-03","W96-6",999,1644,9362
"1974-03","W96-7",1,41502,282698
"1974-03","W96-7",2,48318,358303
"1974-03","W96-7",3,108705,919749
"1974-03","W96-7",70,392,4567
"1974-03","W96-7",81,1834,7581
"1974-03","W96-7",73,2450,17785
"1974-03","W96-7",71,64,1664
"1974-03","W96-7",83,471,3165
"1974-03","W96-7",84,1216,10047
"1974-03","W96-7",60,58488,551820
"1974-03","W96-7",75,434,5113
"1974-03","W96-7",74,294,3445
"1974-03","W96-7",998,6488,66553
"1974-03","W96-7",999,890,8168
"1974-03","W96-8",1,16132,120591
"1974-03","W96-8",2,16673,120817
"1974-03","W96-8",3,26742,233334
"1974-03","W96-8",70,747,7668
"1974-03","W96-8",81,1871,8799
"1974-03","W96-8",73,603,8018
"1974-03","W96-8",83,351,1157
"1974-03","W96-8",84,769,3708
"1974-03","W96-8",60,22510,207157
"1974-03","W96-8",75,120,4161
"1974-03","W96-8",74,148,503
"1974-03","W96-8",998,35,254
"1974-03","W96-8",999,2090,19547
"1974-03","W96-9",1,39387,95805
"1974-03","W96-9",2,20951,59398
"1974-03","W96-9",3,15007,48051
"1974-03","W96-9",70,57,163
"1974-03","W96-9",81,4633,20410
"1974-03","W96-9",84,215,709
"1974-03","W96-9",75,87,529
"1974-04","W96-1",1,522,3108
"1974-04","W96-1",2,3636,12173
"1974-04","W96-1",3,5140,15608
"1974-04","W96-1",70,318,687
"1974-04","W96-1",81,677,2138
"1974-04","W96-1",71,299,7416
"1974-04","W96-1",84,179,519
"1974-04","W96-1",60,1142,6264
"1974-04","W96-1",72,116,2121
"1974-04","W96-1",74,252,4267
"1974-04","W96-1",999,3,30
"1974-04","W96-2",1,12402,49575
"1974-04","W96-2",2,10165,40825
"1974-04","W96-2",3,19200,79657
"1974-04","W96-2",70,456,2428
"1974-04","W96-2",81,859,1718
"1974-04","W96-2",73,86,488
"1974-04","W96-2",83,181,1404
"1974-04","W96-2",84,1195,14200
"1974-04","W96-2",60,4065,35083
"1974-04","W96-2",74,89,1766
"1974-04","W96-2",999,140,1901
"1974-04","W96-3",1,8225,22571
"1974-04","W96-3",2,14811,53897
"1974-04","W96-3",3,36184,146052
"1974-04","W96-3",70,679,2341
"1974-04","W96-3",81,760,1892
"1974-04","W96-3",73,458,8244
"1974-04","W96-3",71,1098,23774
"1974-04","W96-3",83,1027,2352
"1974-04","W96-3",84,1047,7549
"1974-04","W96-3",60,7324,51885
"1974-04","W96-3",75,266,8236
"1974-04","W96-3",74,3506,46957
"1974-04","W96-3",998,447,1662
"1974-04","W96-3",999,328,2180
"1974-04","W96-4",1,13071,46883
"1974-04","W96-4",2,18736,55362
"1974-04","W96-4",3,26408,130213
"1974-04","W96-4",70,284,1029
"1974-04","W96-4",81,2601,8543
"1974-04","W96-4",73,852,7765
"1974-04","W96-4",71,1750,42552
"1974-04","W96-4",83,977,2159
"1974-04","W96-4",84,647,4352
"1974-04","W96-4",60,8091,57228
"1974-04","W96-4",75,65,4888
"1974-04","W96-4",72,605,11575
"1974-04","W96-4",74,1175,12940
"1974-04","W96-4",998,315,779
"1974-04","W96-4",999,776,4671
"1974-04","W96-5",1,25742,89106
"1974-04","W96-5",2,49885,242185
"1974-04","W96-5",3,48011,244001
"1974-04","W96-5",70,1191,5384
"1974-04","W96-5",81,4558,17881
"1974-04","W96-5",73,7570,59301
"1974-04","W96-5",71,1342,26184
"1974-04","W96-5",83,1385,5919
"1974-04","W96-5",84,2193,20038
"1974-04","W96-5",60,25103,176172
"1974-04","W96-5",72,340,3891
"1974-04","W96-5",74,332,3747
"1974-04","W96-5",998,5773,46814
"1974-04","W96-5",999,3023,23465
"1974-04","W96-6",1,15405,36715
"1974-04","W96-6",2,16265,65072
"1974-04","W96-6",3,38415,182080
"1974-04","W96-6",70,1156,2093
"1974-04","W96-6",81,2753,11571
"1974-04","W96-6",73,514,8810
"1974-04","W96-6",71,412,7284
"1974-04","W96-6",83,1350,3948
"1974-04","W96-6",84,1703,11059
"1974-04","W96-6",60,16651,116104
"1974-04","W96-6",75,294,7735
"1974-04","W96-6",72,43,783
"1974-04","W96-6",74,324,4530
"1974-04","W96-6",998,212,883
"1974-04","W96-6",999,1342,9716
"1974-04","W96-7",1,35983,157218
"1974-04","W96-7",2,41240,206278
"1974-04","W96-7",3,90858,599505
"1974-04","W96-7",70,1449,6333
"1974-04","W96-7",81,1735,5405
"1974-04","W96-7",73,946,7937
"1974-04","W96-7",71,103,1974
"1974-04","W96-7",83,477,3093
"1974-04","W96-7",84,282,3373
"1974-04","W96-7",60,58842,453259
"1974-04","W96-7",75,380,4140
"1974-04","W96-7",74,449,3721
"1974-04","W96-7",998,4422,50509
"1974-04","W96-7",999,978,8951
"1974-04","W96-8",1,11135,68437
"1974-04","W96-8",2,12540,73183
"1974-04","W96-8",3,19867,143282
"1974-04","W96-8",70,2037,17143
"1974-04","W96-8",81,965,4945
"1974-04","W96-8",73,646,8181
"1974-04","W96-8",83,62,132
"1974-04","W96-8",84,1048,5121
"1974-04","W96-8",60,23676,167391
"1974-04","W96-8",75,119,4893
"1974-04","W96-8",74,143,808
"1974-04","W96-8",999,1187,12641
"1974-04","W96-9",1,53490,147454
"1974-04","W96-9",2,33341,95275
"1974-04","W96-9",3,23570,66109
"1974-04","W96-9",70,2156,6512
"1974-04","W96-9",81,6186,22900
"1974-04","W96-9",84,234,805
"1974-04","W96-9",75,108,489
"1974-05","W96-1",1,568,3582
"1974-05","W96-1",2,4061,15657
"1974-05","W96-1",3,7315,26757
"1974-05","W96-1",70,9571,32188
"1974-05","W96-1",81,1516,3230
"1974-05","W96-1",71,293,7621
"1974-05","W96-1",84,227,1028
"1974-05","W96-1",60,1758,13185
"1974-05","W96-1",72,122,2227
"1974-05","W96-1",74,213,5063
"1974-05","W96-1",999,46,117
"1974-05","W96-2",1,18512,66726
"1974-05","W96-2",2,15132,62527
"1974-05","W96-2",3,35268,172205
"1974-05","W96-2",70,3088,16693
"1974-05","W96-2",81,1540,2212
"1974-05","W96-2",73,171,2620
"1974-05","W96-2",83,24,24
"1974-05","W96-2",84,1842,20763
"1974-05","W96-2",60,9946,78388
"1974-05","W96-2",74,274,3756
"1974-05","W96-2",999,262,1680
"1974-05","W96-3",1,9152,28349
"1974-05","W96-3",2,17147,63795
"1974-05","W96-3",3,36881,158046
"1974-05","W96-3",70,871,3827
"1974-05","W96-3",81,1448,3487
"1974-05","W96-3",73,678,7964
"1974-05","W96-3",71,1159,24791
"1974-05","W96-3",83,724,865
"1974-05","W96-3",84,362,3941
"1974-05","W96-3",60,6936,51720
"1974-05","W96-3",75,190,8738
"1974-05","W96-3",74,3966,58836
"1974-05","W96-3",998,432,2470
"1974-05","W96-3",999,613,4350
"1974-05","W96-4",1,17138,62390
"1974-05","W96-4",2,22531,78592
"1974-05","W96-4",3,31166,171855
"1974-05","W96-4",70,1590,3822
"1974-05","W96-4",81,4353,13113
"1974-05","W96-4",73,1170,9296
"1974-05","W96-4",71,1851,46497
"1974-05","W96-4",83,405,473
"1974-05","W96-4",84,1548,6081
"1974-05","W96-4",60,10204,85897
"1974-05","W96-4",75,61,5138
"1974-05","W96-4",72,638,14271
