"NUTS1","NUTS2","NUTS3","DISTRICT_CODE","Postal_CODE","Dog.Breed","Anzahl","Ref_Date"
"AT1","AT13","AT113",90200,1020,"Havaneser / Zwergpudel schwarz aus Mehrfarben",1,20231201
"AT1","AT13","AT113",90200,1020,"Hollaendischer Schaeferhund Kurzhaar / Alaskan Malamute",1,20231201
"AT1","AT13","AT113",90200,1020,"Hollaendischer Schaeferhund Kurzhaar / Mischling",2,20231201
"AT1","AT13","AT113",90200,1020,"Hovawart",2,20231201
"AT1","AT13","AT113",90200,1020,"Irish Soft Coated Wheaten Terrier",3,20231201
"AT1","AT13","AT113",90200,1020,"Irish Water Spaniel",1,20231201
"AT1","AT13","AT113",90200,1020,"Italienisches Windspiel",7,20231201
"AT1","AT13","AT113",90200,1020,"Jack Russell Terrier",39,20231201
"AT1","AT13","AT113",90200,1020,"Jack Russell Terrier / Beagle",2,20231201
"AT1","AT13","AT113",90200,1020,"Jack Russell Terrier / Fox Terrier glatthaar",1,20231201
"AT1","AT13","AT113",90200,1020,"Jack Russell Terrier / Langhaar Dachshund Normal",1,20231201
"AT1","AT13","AT113",90200,1020,"Jack Russell Terrier / Rauhhaar Dachshund Normal",1,20231201
"AT1","AT13","AT113",90200,1020,"Klein- oder Mittelpudel",6,20231201
"AT1","AT13","AT113",90200,1020,"Klein- oder Mittelpudel / Golden Retriever",1,20231201
"AT1","AT13","AT113",90200,1020,"Klein- oder Mittelpudel / Malteser",1,20231201
"AT1","AT13","AT113",90200,1020,"Kleiner Muensterlaender",3,20231201
"AT1","AT13","AT113",90200,1020,"Kleinpudel Apricot",3,20231201
"AT1","AT13","AT113",90200,1020,"Kleinpudel Weiss",1,20231201
"AT1","AT13","AT113",90200,1020,"Kleinspitz Neufarben",1,20231201
"AT1","AT13","AT113",90200,1020,"Kooikerhondje",4,20231201
"AT1","AT13","AT113",90200,1020,"Kooikerhondje / Beagle",1,20231201
"AT1","AT13","AT113",90200,1020,"Kurzhaar Dachshund Kaninchen",8,20231201
"AT1","AT13","AT113",90200,1020,"Kurzhaar Dachshund Normal",3,20231201
"AT1","AT13","AT113",90200,1020,"Kurzhaar Dachshund Normal / Kurzhaar Dachshund Kaninchen",1,20231201
"AT1","AT13","AT113",90200,1020,"Kurzhaar Dachshund Normal / Labrador Retriever",1,20231201
"AT1","AT13","AT113",90200,1020,"Labradoodle / Mischling",1,20231201
"AT1","AT13","AT113",90200,1020,"Labrador Retriever / American Akita",1,20231201
"AT1","AT13","AT113",90200,1020,"Labrador Retriever / American Cocker Spaniel",1,20231201
"AT1","AT13","AT113",90200,1020,"Labrador Retriever / Border Collie",2,20231201
"AT1","AT13","AT113",90200,1020,"Labrador Retriever / Collie Langhaar (Rough)",2,20231201
"AT1","AT13","AT113",90200,1020,"Labrador Retriever / Dackel",2,20231201
"AT1","AT13","AT113",90200,1020,"Labrador Retriever / Deutscher Schaeferhund Langstockhaar",1,20231201
"AT1","AT13","AT113",90200,1020,"Labrador Retriever / Grosspudel Apricot",3,20231201
"AT1","AT13","AT113",90200,1020,"Labrador Retriever / Jack Russell Terrier",1,20231201
"AT1","AT13","AT113",90200,1020,"Labrador Retriever / Mudi",2,20231201
